广西电信,#genre#
钦州综合HD,http://171.104.106.24:50112/udp/239.81.0.164:4056
百色综合HD,http://171.104.106.24:50112/udp/239.81.0.150:4056
柳州新闻,http://171.104.106.24:50112/udp/239.81.0.134:4056
防城港综合HD,http://171.104.106.24:50112/udp/239.81.0.151:4056
北海新闻,http://171.104.106.24:50112/udp/239.81.0.136:4056
玉林新闻,http://171.104.106.24:50112/udp/239.81.0.138:4056
桂林新闻,http://171.104.106.24:50112/udp/239.81.0.135:4056
爱上4K,http://171.104.106.24:50112/udp/239.81.0.123:4056
经典电影,http://171.104.106.24:50112/udp/239.81.0.84:4056
热播剧场,http://171.104.106.24:50112/udp/239.81.0.85:4056
都市剧场,http://171.104.106.24:50112/udp/239.81.0.81:4056
生活时尚,http://171.104.106.24:50112/udp/239.81.0.75:4056
魅力时尚,http://171.104.106.24:50112/udp/239.81.0.83:4056
七彩戏剧,http://171.104.106.24:50112/udp/239.81.0.70:4056
法治天地,http://171.104.106.24:50112/udp/239.81.0.79:4056
金色,http://171.104.106.24:50112/udp/239.81.0.80:4056
广西IPTV4,http://171.104.106.24:50112/udp/239.81.0.251:4056
广西IPTV5,http://171.104.106.24:50112/udp/239.81.0.205:4056
广西IPTV7,http://171.104.106.24:50112/udp/239.81.0.253:4056
广西IPTV8,http://171.104.106.24:50112/udp/239.81.0.208:4056
广西IPTV9,http://171.104.106.24:50112/udp/239.81.0.209:4056
广西IPTV影院,http://171.104.106.24:50112/udp/239.81.0.100:4056
广西IPTV12,http://171.104.106.24:50112/udp/239.81.0.124:4056
广西IPTV13,http://171.104.106.24:50112/udp/239.81.0.125:4056
IPTV自然传奇,http://171.104.106.24:50112/udp/239.81.0.18:4056
IPTV法治,http://171.104.106.24:50112/udp/239.81.0.20:4056
IPTV相声小品,http://171.104.106.24:50112/udp/239.81.0.17:4056
IPTV谍战剧场,http://171.104.106.24:50112/udp/239.81.0.15:4056
IPTV3＋综艺,http://171.104.106.24:50112/udp/239.81.0.66:4056
IPTV5＋体育,http://171.104.106.24:50112/udp/239.81.0.12:4056
IPTV6＋电影,http://171.104.106.24:50112/udp/239.81.0.65:4056
IPTV8＋电视剧,http://171.104.106.24:50112/udp/239.81.0.67:4056
新动漫,http://171.104.106.24:50112/udp/239.81.0.235:4056
少儿动画,http://171.104.106.24:50112/udp/239.81.0.82:4056
动漫秀场,http://171.104.106.24:50112/udp/239.81.0.68:4056
CCTV-4K,http://171.104.106.24:50112/udp/239.81.0.69:4056
CCTV-4K,http://171.104.106.24:50112/udp/239.81.0.71:4056
IPTV足球,http://171.104.106.24:50112/udp/239.81.0.97:4056

广西卫视,http://220.173.25.19:4022/udp/239.81.0.107:4056
广西综艺,http://220.173.25.19:4022/udp/239.81.0.214:4056
广西影视,http://220.173.25.19:4022/udp/239.81.0.250:4056
广西新闻,http://220.173.25.19:4022/udp/239.81.0.248:4056
广西公共,http://220.173.25.19:4022/udp/239.81.0.249:4056
广西都市,http://220.173.25.19:4022/udp/239.81.0.247:4056
广西国际,http://220.173.25.19:4022/udp/239.81.0.8:4056
广西科教,http://220.173.25.19:4022/udp/239.81.0.11:4056
南宁影视,http://220.173.25.19:4022/udp/239.81.0.128:4056
南宁新闻,http://220.173.25.19:4022/udp/239.81.0.241:4056
南宁新闻,http://220.173.25.19:4022/udp/239.81.0.126:4056
南宁公共,http://220.173.25.19:4022/udp/239.81.0.129:4056
南宁都市,http://220.173.25.19:4022/udp/239.81.0.127:4056
贺州综合HD,http://220.173.25.19:4022/udp/239.81.0.163:4056
钦州综合HD,http://220.173.25.19:4022/udp/239.81.0.164:4056
百色综合HD,http://220.173.25.19:4022/udp/239.81.0.150:4056
柳州新闻,http://220.173.25.19:4022/udp/239.81.0.134:4056
防城港综合HD,http://220.173.25.19:4022/udp/239.81.0.151:4056
北海新闻,http://220.173.25.19:4022/udp/239.81.0.136:4056
玉林新闻,http://220.173.25.19:4022/udp/239.81.0.138:4056
桂林新闻,http://220.173.25.19:4022/udp/239.81.0.135:4056
爱上4K,http://220.173.25.19:4022/udp/239.81.0.123:4056
经典电影,http://220.173.25.19:4022/udp/239.81.0.84:4056
热播剧场,http://220.173.25.19:4022/udp/239.81.0.85:4056
都市剧场,http://220.173.25.19:4022/udp/239.81.0.81:4056
生活时尚,http://220.173.25.19:4022/udp/239.81.0.75:4056
魅力时尚,http://220.173.25.19:4022/udp/239.81.0.83:4056
七彩戏剧,http://220.173.25.19:4022/udp/239.81.0.70:4056
法治天地,http://220.173.25.19:4022/udp/239.81.0.79:4056
金色,http://220.173.25.19:4022/udp/239.81.0.80:4056
广西IPTV4,http://220.173.25.19:4022/udp/239.81.0.251:4056
广西IPTV5,http://220.173.25.19:4022/udp/239.81.0.205:4056
广西IPTV7,http://220.173.25.19:4022/udp/239.81.0.253:4056
广西IPTV8,http://220.173.25.19:4022/udp/239.81.0.208:4056
广西IPTV9,http://220.173.25.19:4022/udp/239.81.0.209:4056
广西IPTV影院,http://220.173.25.19:4022/udp/239.81.0.100:4056
广西IPTV12,http://220.173.25.19:4022/udp/239.81.0.124:4056
广西IPTV13,http://220.173.25.19:4022/udp/239.81.0.125:4056
IPTV自然传奇,http://220.173.25.19:4022/udp/239.81.0.18:4056
IPTV法治,http://220.173.25.19:4022/udp/239.81.0.20:4056
IPTV相声小品,http://220.173.25.19:4022/udp/239.81.0.17:4056
IPTV谍战剧场,http://220.173.25.19:4022/udp/239.81.0.15:4056
IPTV3＋综艺,http://220.173.25.19:4022/udp/239.81.0.66:4056
IPTV5＋体育,http://220.173.25.19:4022/udp/239.81.0.12:4056
IPTV6＋电影,http://220.173.25.19:4022/udp/239.81.0.65:4056
IPTV8＋电视剧,http://220.173.25.19:4022/udp/239.81.0.67:4056
新动漫,http://220.173.25.19:4022/udp/239.81.0.235:4056
少儿动画,http://220.173.25.19:4022/udp/239.81.0.82:4056
动漫秀场,http://220.173.25.19:4022/udp/239.81.0.68:4056
CCTV-4K,http://220.173.25.19:4022/udp/239.81.0.69:4056
CCTV-4K,http://220.173.25.19:4022/udp/239.81.0.71:4056
IPTV足球,http://220.173.25.19:4022/udp/239.81.0.97:4056

